"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"134500","6815","0500000US05005","Baxter County, Arkansas"
"192900","4746","0500000US05007","Benton County, Arkansas"
"127200","5689","0500000US05009","Boone County, Arkansas"
"87600","13702","0500000US05011","Bradley County, Arkansas"
"73100","8356","0500000US05013","Calhoun County, Arkansas"
"143600","7550","0500000US05015","Carroll County, Arkansas"
"68000","6760","0500000US05017","Chicot County, Arkansas"
"116100","9291","0500000US05019","Clark County, Arkansas"
"79600","4237","0500000US05021","Clay County, Arkansas"
"126400","11117","0500000US05023","Cleburne County, Arkansas"
"90400","9603","0500000US05025","Cleveland County, Arkansas"
"87700","12602","0500000US05027","Columbia County, Arkansas"
"113500","7441","0500000US05029","Conway County, Arkansas"
"149700","4497","0500000US05031","Craighead County, Arkansas"
"123800","6007","0500000US05033","Crawford County, Arkansas"
"122700","6836","0500000US05035","Crittenden County, Arkansas"
"83800","6272","0500000US05037","Cross County, Arkansas"
"78200","5694","0500000US05039","Dallas County, Arkansas"
"82500","8290","0500000US05041","Desha County, Arkansas"
"102300","16612","0500000US05043","Drew County, Arkansas"
"163900","4063","0500000US05045","Faulkner County, Arkansas"
"96900","6025","0500000US05047","Franklin County, Arkansas"
"84400","5643","0500000US05049","Fulton County, Arkansas"
"142100","4477","0500000US05051","Garland County, Arkansas"
"122600","15049","0500000US05053","Grant County, Arkansas"
"124800","6924","0500000US05055","Greene County, Arkansas"
"87700","8076","0500000US05057","Hempstead County, Arkansas"
"102400","7016","0500000US05059","Hot Spring County, Arkansas"
"101000","10856","0500000US05061","Howard County, Arkansas"
"97900","8442","0500000US05063","Independence County, Arkansas"
"81900","4371","0500000US05065","Izard County, Arkansas"
"71300","3431","0500000US05067","Jackson County, Arkansas"
"84900","3563","0500000US05069","Jefferson County, Arkansas"
"107600","7740","0500000US05071","Johnson County, Arkansas"
"60800","7028","0500000US05073","Lafayette County, Arkansas"
"75400","2702","0500000US05075","Lawrence County, Arkansas"
"76400","6551","0500000US05077","Lee County, Arkansas"
"90600","16882","0500000US05079","Lincoln County, Arkansas"
"77400","5304","0500000US05081","Little River County, Arkansas"
"100500","5220","0500000US05083","Logan County, Arkansas"
"145000","5649","0500000US05085","Lonoke County, Arkansas"
"116000","12089","0500000US05087","Madison County, Arkansas"
"132200","11697","0500000US05089","Marion County, Arkansas"
"113400","7875","0500000US05091","Miller County, Arkansas"
"93000","8341","0500000US05093","Mississippi County, Arkansas"
"73500","3642","0500000US05095","Monroe County, Arkansas"
"111600","13992","0500000US05097","Montgomery County, Arkansas"
"66400","5553","0500000US05099","Nevada County, Arkansas"
"127100","18546","0500000US05101","Newton County, Arkansas"
"76900","4306","0500000US05103","Ouachita County, Arkansas"
"115000","9885","0500000US05105","Perry County, Arkansas"
"80800","6377","0500000US05107","Phillips County, Arkansas"
"86100","4500","0500000US05109","Pike County, Arkansas"
"81200","4740","0500000US05111","Poinsett County, Arkansas"
"103700","11375","0500000US05113","Polk County, Arkansas"
"129000","7260","0500000US05115","Pope County, Arkansas"
"71800","7151","0500000US05117","Prairie County, Arkansas"
"161000","2498","0500000US05119","Pulaski County, Arkansas"
"92500","8810","0500000US05121","Randolph County, Arkansas"
"65200","3166","0500000US05123","St. Francis County, Arkansas"
"159300","4062","0500000US05125","Saline County, Arkansas"
"81900","8558","0500000US05127","Scott County, Arkansas"
"99000","11274","0500000US05129","Searcy County, Arkansas"
"129300","5086","0500000US05131","Sebastian County, Arkansas"
"95000","12965","0500000US05133","Sevier County, Arkansas"
"75200","4811","0500000US05135","Sharp County, Arkansas"
"135800","20729","0500000US05137","Stone County, Arkansas"
"89700","6899","0500000US05139","Union County, Arkansas"
"105500","8393","0500000US05141","Van Buren County, Arkansas"
"184300","4462","0500000US05143","Washington County, Arkansas"
"125300","7125","0500000US05145","White County, Arkansas"
"74300","5652","0500000US05147","Woodruff County, Arkansas"
"110300","6260","0500000US05149","Yell County, Arkansas"
"825300","4462","0500000US06001","Alameda County, California"
"372500","23650","0500000US06003","Alpine County, California"
"329300","11372","0500000US06005","Amador County, California"
"304700","7078","0500000US06007","Butte County, California"
"340000","9138","0500000US06009","Calaveras County, California"
"274100","17719","0500000US06011","Colusa County, California"
"655500","3992","0500000US06013","Contra Costa County, California"
"227500","18486","0500000US06015","Del Norte County, California"
"479800","7103","0500000US06017","El Dorado County, California"
"271000","2511","0500000US06019","Fresno County, California"
"242200","11644","0500000US06021","Glenn County, California"
"331300","5565","0500000US06023","Humboldt County, California"
"206700","6379","0500000US06025","Imperial County, California"
"258200","19675","0500000US06027","Inyo County, California"
"226600","2501","0500000US06029","Kern County, California"
"227400","4710","0500000US06031","Kings County, California"
"238000","9589","0500000US06033","Lake County, California"
"207800","10271","0500000US06035","Lassen County, California"
"615500","1605","0500000US06037","Los Angeles County, California"
"268500","5147","0500000US06039","Madera County, California"
"1053600","14592","0500000US06041","Marin County, California"
"290200","13976","0500000US06043","Mariposa County, California"
"388500","11409","0500000US06045","Mendocino County, California"
"268800","4864","0500000US06047","Merced County, California"
"153600","12955","0500000US06049","Modoc County, California"
"385500","45592","0500000US06051","Mono County, California"
"559400","9425","0500000US06053","Monterey County, California"
"666900","8750","0500000US06055","Napa County, California"
"446100","10726","0500000US06057","Nevada County, California"
"703800","2560","0500000US06059","Orange County, California"
"495900","4349","0500000US06061","Placer County, California"
"259300","14972","0500000US06063","Plumas County, California"
"368100","1745","0500000US06065","Riverside County, California"
"373000","1986","0500000US06067","Sacramento County, California"
"588500","11265","0500000US06069","San Benito County, California"
"348500","2358","0500000US06071","San Bernardino County, California"
"595600","2794","0500000US06073","San Diego County, California"
"1152300","11342","0500000US06075","San Francisco County, California"
"367900","3422","0500000US06077","San Joaquin County, California"
"605200","6500","0500000US06079","San Luis Obispo County, California"
"1163100","9230","0500000US06081","San Mateo County, California"
"610300","18043","0500000US06083","Santa Barbara County, California"
"1061900","6354","0500000US06085","Santa Clara County, California"
"787000","13458","0500000US06087","Santa Cruz County, California"
"261000","5374","0500000US06089","Shasta County, California"
"229400","34916","0500000US06091","Sierra County, California"
"214300","9133","0500000US06093","Siskiyou County, California"
"437900","3482","0500000US06095","Solano County, California"
"640000","5262","0500000US06097","Sonoma County, California"
"314100","3357","0500000US06099","Stanislaus County, California"
"306000","8042","0500000US06101","Sutter County, California"
"231500","7614","0500000US06103","Tehama County, California"
"285700","12953","0500000US06105","Trinity County, California"
"223600","3891","0500000US06107","Tulare County, California"
"314300","13498","0500000US06109","Tuolumne County, California"
"609200","4363","0500000US06111","Ventura County, California"
"456800","8682","0500000US06113","Yolo County, California"
"273600","5913","0500000US06115","Yuba County, California"
"335800","2792","0500000US08001","Adams County, Colorado"
"153700","10913","0500000US08003","Alamosa County, Colorado"
"385100","2868","0500000US08005","Arapahoe County, Colorado"
"331900","19232","0500000US08007","Archuleta County, Colorado"
"98800","14861","0500000US08009","Baca County, Colorado"
"82500","6355","0500000US08011","Bent County, Colorado"
"539100","10920","0500000US08013","Boulder County, Colorado"
"450600","7503","0500000US08014","Broomfield County, Colorado"
"387300","14193","0500000US08015","Chaffee County, Colorado"
"141700","24096","0500000US08017","Cheyenne County, Colorado"
"399000","33918","0500000US08019","Clear Creek County, Colorado"
"123000","8976","0500000US08021","Conejos County, Colorado"
"123600","28654","0500000US08023","Costilla County, Colorado"
"82900","13196","0500000US08025","Crowley County, Colorado"
"249900","41018","0500000US08027","Custer County, Colorado"
"253500","14143","0500000US08029","Delta County, Colorado"
"427600","4241","0500000US08031","Denver County, Colorado"
"167700","19416","0500000US08033","Dolores County, Colorado"
"493500","3867","0500000US08035","Douglas County, Colorado"
"617200","34649","0500000US08037","Eagle County, Colorado"
"492300","17716","0500000US08039","Elbert County, Colorado"
"300200","3106","0500000US08041","El Paso County, Colorado"
"197500","8424","0500000US08043","Fremont County, Colorado"
"375600","11600","0500000US08045","Garfield County, Colorado"
"387000","29103","0500000US08047","Gilpin County, Colorado"
"347400","25071","0500000US08049","Grand County, Colorado"
"381900","26328","0500000US08051","Gunnison County, Colorado"
"325000","47813","0500000US08053","Hinsdale County, Colorado"
"183100","29679","0500000US08055","Huerfano County, Colorado"
"211500","38127","0500000US08057","Jackson County, Colorado"
"433100","2192","0500000US08059","Jefferson County, Colorado"
"85900","16277","0500000US08061","Kiowa County, Colorado"
"127800","26695","0500000US08063","Kit Carson County, Colorado"
"258200","44358","0500000US08065","Lake County, Colorado"
"415900","14295","0500000US08067","La Plata County, Colorado"
"390600","3923","0500000US08069","Larimer County, Colorado"
"158600","10307","0500000US08071","Las Animas County, Colorado"
"157500","14998","0500000US08073","Lincoln County, Colorado"
"161800","8967","0500000US08075","Logan County, Colorado"
"245000","4452","0500000US08077","Mesa County, Colorado"
"329300","33018","0500000US08079","Mineral County, Colorado"
"190600","17151","0500000US08081","Moffat County, Colorado"
"238200","14533","0500000US08083","Montezuma County, Colorado"
"242300","10534","0500000US08085","Montrose County, Colorado"
"217200","6703","0500000US08087","Morgan County, Colorado"
"101000","7758","0500000US08089","Otero County, Colorado"
"486200","30597","0500000US08091","Ouray County, Colorado"
"367400","11930","0500000US08093","Park County, Colorado"
"191200","40870","0500000US08095","Phillips County, Colorado"
"599000","148260","0500000US08097","Pitkin County, Colorado"
"108800","9826","0500000US08099","Prowers County, Colorado"
"172500","3163","0500000US08101","Pueblo County, Colorado"
"218500","17505","0500000US08103","Rio Blanco County, Colorado"
"186700","18211","0500000US08105","Rio Grande County, Colorado"
"534100","40623","0500000US08107","Routt County, Colorado"
"152400","18174","0500000US08109","Saguache County, Colorado"
"348700","62928","0500000US08111","San Juan County, Colorado"
"448900","51570","0500000US08113","San Miguel County, Colorado"
"111300","10170","0500000US08115","Sedgwick County, Colorado"
"596300","38117","0500000US08117","Summit County, Colorado"
"304800","19726","0500000US08119","Teller County, Colorado"
"162200","17554","0500000US08121","Washington County, Colorado"
"326100","3715","0500000US08123","Weld County, Colorado"
"190400","22632","0500000US08125","Yuma County, Colorado"
"433000","4681","0500000US09001","Fairfield County, Connecticut"
"242900","1570","0500000US09003","Hartford County, Connecticut"
"258300","5352","0500000US09005","Litchfield County, Connecticut"
"293300","5025","0500000US09007","Middlesex County, Connecticut"
"252300","2499","0500000US09009","New Haven County, Connecticut"
"246800","3522","0500000US09011","New London County, Connecticut"
"259700","4490","0500000US09013","Tolland County, Connecticut"
"210300","4631","0500000US09015","Windham County, Connecticut"
"226600","4032","0500000US10001","Kent County, Delaware"
"266500","3019","0500000US10003","New Castle County, Delaware"
"269700","5308","0500000US10005","Sussex County, Delaware"
"618100","10023","0500000US11001","District of Columbia, District of Columbia"
"201600","5198","0500000US12001","Alachua County, Florida"
"158000","10042","0500000US12003","Baker County, Florida"
"195000","5873","0500000US12005","Bay County, Florida"
"118900","10581","0500000US12007","Bradford County, Florida"
"220000","3891","0500000US12009","Brevard County, Florida"
